Timestamp,PM92-23 Solar PV1  15 Min Meter Extended Trend Log,PM92-52 Solar PV2   15 Min Meter Extended Trend Log,PV_1(kWH),PV_2(kWH),,,,,
29/02/2020 11:45:00 PM,0,0,0,0,,,,,
29/02/2020 11:30:00 PM,0,0,0,0,,,,,
29/02/2020 11:15:00 PM,0,0,0,0,,,,,
29/02/2020 11:00:00 PM,0,0,0,0,,,,,
29/02/2020 10:45:00 PM,0,0,0,0,,,12.65076157,,
29/02/2020 10:30:00 PM,0,0,0,0,,,,,
29/02/2020 10:15:00 PM,0,0,0,0,,,,,
29/02/2020 10:00:00 PM,0,0,0,0,,,,,
29/02/2020 9:45:00 PM,0,0,0,0,,,,,
29/02/2020 9:30:00 PM,0,0,0,0,,,,,
29/02/2020 9:15:00 PM,0,0,0,0,,,,,
29/02/2020 9:00:00 PM,0,0,0,0,,,,,
29/02/2020 8:45:00 PM,0,0,0,0,,,,,
29/02/2020 8:30:01 PM,0,0,0,0,,,,,
29/02/2020 8:30:00 PM,0,0,0,0,,,,,
29/02/2020 8:15:00 PM,0,0,0,0,,,,,
29/02/2020 8:00:00 PM,0,0,0,0,,,,,
29/02/2020 7:45:00 PM,0,0,0,0,,,,,
29/02/2020 7:30:00 PM,0.02,0.02,0.08,0.08,,,,,
29/02/2020 7:15:00 PM,0.17,0.2,0.68,0.8,,,,,
29/02/2020 7:00:00 PM,0.5,0.45,2,1.8,,,,,
29/02/2020 6:45:00 PM,0.87,0.81,3.48,3.24,,,,,
29/02/2020 6:30:00 PM,1.71,1.48,6.84,5.92,,,,,
29/02/2020 6:15:00 PM,2.34,2.73,9.36,10.92,,,,,
29/02/2020 6:00:00 PM,3.01,4.31,12.04,17.24,,,,,
29/02/2020 5:45:00 PM,4.59,6.2,18.36,24.8,,,,,
29/02/2020 5:30:00 PM,5.64,8.2,22.56,32.8,,,,,
29/02/2020 5:15:00 PM,6.4,10.33,25.6,41.32,,,,,
29/02/2020 5:00:00 PM,7.1,12.16,28.4,48.64,,,,,
29/02/2020 4:45:00 PM,7.49,13.41,29.96,53.64,,,,,
29/02/2020 4:30:00 PM,8.23,15.14,32.92,60.56,,,,,
29/02/2020 4:15:00 PM,8.84,16.47,35.36,65.88,,,,,
29/02/2020 4:00:00 PM,9.46,17.75,37.84,71,,,,,
29/02/2020 3:45:00 PM,10.26,19.06,41.04,76.24,,,,,
29/02/2020 3:30:00 PM,10.91,20.08,43.64,80.32,,,,,
29/02/2020 3:15:00 PM,11.41,20.95,45.64,83.8,,,,,
29/02/2020 3:00:00 PM,11.98,21.63,47.92,86.52,,,,,
29/02/2020 2:45:00 PM,12.48,22.16,49.92,88.64,,,,,
29/02/2020 2:30:00 PM,12.88,22.61,51.52,90.44,,,,,
29/02/2020 2:15:00 PM,13.24,22.95,52.96,91.8,,,,,
29/02/2020 2:00:00 PM,13.67,23.31,54.68,93.24,,,,,
29/02/2020 1:45:00 PM,13.91,23.47,55.64,93.88,,,,,
29/02/2020 1:30:00 PM,13.64,23.33,54.56,93.32,,,,,
29/02/2020 1:15:00 PM,14.2,23.3,56.8,93.2,,,,,
29/02/2020 1:00:00 PM,14.32,23.28,57.28,93.12,,,,,
29/02/2020 12:45:00 PM,12.96,22.53,51.84,90.12,,,,,
29/02/2020 12:30:00 PM,13.2,22.34,52.8,89.36,,,,,
29/02/2020 12:15:00 PM,12.94,22.28,51.76,89.12,,,,,
29/02/2020 12:00:00 PM,14.28,23.53,57.12,94.12,,,,,
29/02/2020 11:45:00 AM,8.82,14.34,35.28,57.36,,,,,
29/02/2020 11:30:00 AM,12.19,20.64,48.76,82.56,,,,,
