time,pv_1,pv_2
1,60.41,95.24
2,385.17,616.04
3,406.4,626.7
4,485.97,784.29
5,423.59,666.34
6,393.09,661.62
7,280.99,462.18
8,458.69,758.44
9,343.81,563.41
10,240.75,374.25
11,298.26,474.26
12,286.72,447.13
13,428.48,717.13
14,217.98,366.81
15,56.51,88.42
16,431.64,713.94
17,441.4,751.16
18,150.59,235.38
19,218.18,342.85
20,285.78,465.18
21,268.71,443.93
22,443.75,757.4
23,378.55,653.67
24,134.05,208.54
25,192.1,307.08
26,328.65,532.72
27,215.7,343.52
28,269,431.35
29,362.24,618.2
