_time,Amount of Users Detected
2020-02-01T00:00:00.000+1100,19
2020-02-01T00:30:00.000+1100,12
2020-02-01T01:00:00.000+1100,44
2020-02-01T01:30:00.000+1100,8
2020-02-01T02:00:00.000+1100,7
2020-02-01T02:30:00.000+1100,6
2020-02-01T03:00:00.000+1100,6
2020-02-01T03:30:00.000+1100,7
2020-02-01T04:00:00.000+1100,52
2020-02-01T04:30:00.000+1100,14
2020-02-01T05:00:00.000+1100,5
2020-02-01T05:30:00.000+1100,6
2020-02-01T06:00:00.000+1100,25
2020-02-01T06:30:00.000+1100,7
2020-02-01T07:00:00.000+1100,12
2020-02-01T07:30:00.000+1100,7
2020-02-01T08:00:00.000+1100,9
2020-02-01T08:30:00.000+1100,17
2020-02-01T09:00:00.000+1100,11
2020-02-01T09:30:00.000+1100,19
2020-02-01T10:00:00.000+1100,16
2020-02-01T10:30:00.000+1100,12
2020-02-01T11:00:00.000+1100,15
2020-02-01T11:30:00.000+1100,23
2020-02-01T12:00:00.000+1100,22
2020-02-01T12:30:00.000+1100,22
2020-02-01T13:00:00.000+1100,22
2020-02-01T13:30:00.000+1100,23
2020-02-01T14:00:00.000+1100,30
2020-02-01T14:30:00.000+1100,28
2020-02-01T15:00:00.000+1100,26
2020-02-01T15:30:00.000+1100,24
2020-02-01T16:00:00.000+1100,15
2020-02-01T16:30:00.000+1100,18
2020-02-01T17:00:00.000+1100,15
2020-02-01T17:30:00.000+1100,5
2020-02-01T18:00:00.000+1100,6
2020-02-01T18:30:00.000+1100,7
2020-02-01T19:00:00.000+1100,7
2020-02-01T19:30:00.000+1100,5
2020-02-01T20:00:00.000+1100,5
2020-02-01T20:30:00.000+1100,6
2020-02-01T21:00:00.000+1100,5
2020-02-01T21:30:00.000+1100,5
2020-02-01T22:00:00.000+1100,6
2020-02-01T22:30:00.000+1100,5
2020-02-01T23:00:00.000+1100,6
2020-02-01T23:30:00.000+1100,5
2020-02-02T00:00:00.000+1100,15
2020-02-02T00:30:00.000+1100,19
2020-02-02T01:00:00.000+1100,42
2020-02-02T01:30:00.000+1100,19
2020-02-02T02:00:00.000+1100,7
2020-02-02T02:30:00.000+1100,6
2020-02-02T03:00:00.000+1100,7
2020-02-02T03:30:00.000+1100,7
2020-02-02T04:00:00.000+1100,58
2020-02-02T04:30:00.000+1100,47
2020-02-02T05:00:00.000+1100,3
2020-02-02T05:30:00.000+1100,4
2020-02-02T06:00:00.000+1100,154
2020-02-02T06:30:00.000+1100,7
2020-02-02T07:00:00.000+1100,128
2020-02-02T07:30:00.000+1100,130
2020-02-02T08:00:00.000+1100,71
2020-02-02T08:30:00.000+1100,67
2020-02-02T09:00:00.000+1100,130
2020-02-02T09:30:00.000+1100,16
2020-02-02T10:00:00.000+1100,6
2020-02-02T10:30:00.000+1100,7
2020-02-02T11:00:00.000+1100,8
2020-02-02T11:30:00.000+1100,66
2020-02-02T12:00:00.000+1100,16
2020-02-02T12:30:00.000+1100,59
2020-02-02T13:00:00.000+1100,7
2020-02-02T13:30:00.000+1100,24
2020-02-02T14:00:00.000+1100,27
2020-02-02T14:30:00.000+1100,8
2020-02-02T15:00:00.000+1100,9
2020-02-02T15:30:00.000+1100,9
2020-02-02T16:00:00.000+1100,6
2020-02-02T16:30:00.000+1100,8
2020-02-02T17:00:00.000+1100,5
2020-02-02T17:30:00.000+1100,8
2020-02-02T18:00:00.000+1100,11
2020-02-02T18:30:00.000+1100,9
2020-02-02T19:00:00.000+1100,6
2020-02-02T19:30:00.000+1100,7
2020-02-02T20:00:00.000+1100,6
2020-02-02T20:30:00.000+1100,7
2020-02-02T21:00:00.000+1100,7
2020-02-02T21:30:00.000+1100,5
2020-02-02T22:00:00.000+1100,6
2020-02-02T22:30:00.000+1100,5
2020-02-02T23:00:00.000+1100,8
2020-02-02T23:30:00.000+1100,5
2020-02-03T00:00:00.000+1100,46
2020-02-03T00:30:00.000+1100,18
2020-02-03T01:00:00.000+1100,56
2020-02-03T01:30:00.000+1100,12
2020-02-03T02:00:00.000+1100,8
2020-02-03T02:30:00.000+1100,11
2020-02-03T03:00:00.000+1100,12
2020-02-03T03:30:00.000+1100,21
2020-02-03T04:00:00.000+1100,56
2020-02-03T04:30:00.000+1100,27
2020-02-03T05:00:00.000+1100,25
2020-02-03T05:30:00.000+1100,17
2020-02-03T06:00:00.000+1100,44
2020-02-03T06:30:00.000+1100,24
2020-02-03T07:00:00.000+1100,43
2020-02-03T07:30:00.000+1100,57
2020-02-03T08:00:00.000+1100,187
2020-02-03T08:30:00.000+1100,301
2020-02-03T09:00:00.000+1100,581
2020-02-03T09:30:00.000+1100,594
2020-02-03T10:00:00.000+1100,683
2020-02-03T10:30:00.000+1100,642
2020-02-03T11:00:00.000+1100,620
2020-02-03T11:30:00.000+1100,622
2020-02-03T12:00:00.000+1100,687
2020-02-03T12:30:00.000+1100,590
2020-02-03T13:00:00.000+1100,647
2020-02-03T13:30:00.000+1100,557
2020-02-03T14:00:00.000+1100,580
2020-02-03T14:30:00.000+1100,550
2020-02-03T15:00:00.000+1100,547
2020-02-03T15:30:00.000+1100,482
2020-02-03T16:00:00.000+1100,425
2020-02-03T16:30:00.000+1100,332
2020-02-03T17:00:00.000+1100,157
2020-02-03T17:30:00.000+1100,60
2020-02-03T18:00:00.000+1100,59
2020-02-03T18:30:00.000+1100,28
2020-02-03T19:00:00.000+1100,50
2020-02-03T19:30:00.000+1100,8
2020-02-03T20:00:00.000+1100,9
2020-02-03T20:30:00.000+1100,11
2020-02-03T21:00:00.000+1100,11
2020-02-03T21:30:00.000+1100,7
2020-02-03T22:00:00.000+1100,11
2020-02-03T22:30:00.000+1100,8
2020-02-03T23:00:00.000+1100,10
2020-02-03T23:30:00.000+1100,10
2020-02-04T00:00:00.000+1100,26
2020-02-04T00:30:00.000+1100,9
2020-02-04T01:00:00.000+1100,47
2020-02-04T01:30:00.000+1100,13
2020-02-04T02:00:00.000+1100,21
2020-02-04T02:30:00.000+1100,8
2020-02-04T03:00:00.000+1100,11
2020-02-04T03:30:00.000+1100,23
