date,users(daily),level_1,level_2,level_3,Total Energy consumption
1,14.10416667,1959.6875,3033.75,1689.5938,6683.0313
2,26.91666667,1461.5625,2406.5,520.625,4388.6875
3,219.6458333,2698.25,3575.625,543.3906,6817.2656
4,120.9166667,2517,3346,564.4218,6427.4218
5,218.7083333,2468.375,3370.9375,682.3437,6521.6562
6,145.6041667,2572.8125,3333.9375,1517.2344,7423.9844
7,48.35416667,2766.6875,3485.875,1750.6719,8003.2344
8,13.77083333,1548.875,2402.0625,1208.1562,5159.0937
9,13.625,1561.75,2401.8125,807.7031,4771.2656
10,61.97916667,2984.8125,3615.1875,2022.3125,8622.3125
11,94.125,3036.125,3542.062,2367.6875,8945.8745
12,104.7291667,3047.625,3617.5,2380.9531,9046.0781
13,73.375,2985.125,3398.25,3273.3437,9656.7187
14,78.29166667,3215.625,3638.688,3524.6406,10378.9536
15,14.875,1997.75,2982,537.1875,5516.9375
16,18.58333333,1499.4375,2270.938,571,4341.3755
17,100.7083333,2721.8125,3338.25,2232.3438,8292.4063
18,88.41666667,3101.4375,3947.062,1933.4687,8981.9682
19,75.125,2986,3730.563,603.2813,7319.8443
20,81.875,2696.25,3553.938,434.5937,6684.7817
21,53.5625,2678.25,3550.688,454.9532,6683.8912
22,18.0625,1493,2399.063,378.1407,4270.2037
23,12.625,1463.0625,2324.375,1136.7344,4924.1719
24,60.0625,2834.625,3698.562,1955.75,8488.937
25,72.35416667,2891,3745.5,2520.1875,9156.6875
26,74.95833333,2790.125,3521.125,608.5782,6919.8282
27,65.47916667,2768,3678.625,388.9688,6835.5938
28,63.02083333,2726,3574.5,499.4844,6799.9844
29,15.72916667,1692.625,2506.25,365.5,4564.375
